sense	number	antisense	bp	
Adenovirus:Type_37_Strain_GW_[76-19026]:56:+	57	Adenovirus:Type_37_Strain_GW_[76-19026]:751:-	2900	
Adenovirus:Type_37_Strain_GW_[76-19026]:57:+	58	Adenovirus:Type_37_Strain_GW_[76-19026]:752:-	2950	
Adenovirus:Type_37_Strain_GW_[76-19026]:58:+	59	Adenovirus:Type_37_Strain_GW_[76-19026]:753:-	3000	
Adenovirus:Type_37_Strain_GW_[76-19026]:59:+	60	Adenovirus:Type_37_Strain_GW_[76-19026]:754:-	3050	
Adenovirus:Type_37_Strain_GW_[76-19026]:60:+	61	Adenovirus:Type_37_Strain_GW_[76-19026]:755:-	3100	
Adenovirus:Type_37_Strain_GW_[76-19026]:61:+	62	Adenovirus:Type_37_Strain_GW_[76-19026]:756:-	3150	
Adenovirus:Type_37_Strain_GW_[76-19026]:62:+	63	Adenovirus:Type_37_Strain_GW_[76-19026]:757:-	3200	
Adenovirus:Type_37_Strain_GW_[76-19026]:63:+	64	Adenovirus:Type_37_Strain_GW_[76-19026]:758:-	3250	
Adenovirus:Type_37_Strain_GW_[76-19026]:64:+	65	Adenovirus:Type_37_Strain_GW_[76-19026]:759:-	3300	
Adenovirus:Type_37_Strain_GW_[76-19026]:65:+	66	Adenovirus:Type_37_Strain_GW_[76-19026]:760:-	3350	
Adenovirus:Type_37_Strain_GW_[76-19026]:66:+	67	Adenovirus:Type_37_Strain_GW_[76-19026]:761:-	3400	
Adenovirus:Type_37_Strain_GW_[76-19026]:67:+	68	Adenovirus:Type_37_Strain_GW_[76-19026]:762:-	3450	
Adenovirus:Type_37_Strain_GW_[76-19026]:68:+	69	Adenovirus:Type_37_Strain_GW_[76-19026]:763:-	3500	
Adenovirus:Type_37_Strain_GW_[76-19026]:69:+	70	Adenovirus:Type_37_Strain_GW_[76-19026]:764:-	3550	
Adenovirus:Type_37_Strain_GW_[76-19026]:70:+	71	Adenovirus:Type_37_Strain_GW_[76-19026]:765:-	3600	
Adenovirus:Type_37_Strain_GW_[76-19026]:71:+	72	Adenovirus:Type_37_Strain_GW_[76-19026]:766:-	3650	
Adenovirus:Type_37_Strain_GW_[76-19026]:72:+	73	Adenovirus:Type_37_Strain_GW_[76-19026]:767:-	3700	
Adenovirus:Type_37_Strain_GW_[76-19026]:73:+	74	Adenovirus:Type_37_Strain_GW_[76-19026]:768:-	3750	
Adenovirus:Type_37_Strain_GW_[76-19026]:74:+	75	Adenovirus:Type_37_Strain_GW_[76-19026]:769:-	3800	
Adenovirus:Type_37_Strain_GW_[76-19026]:75:+	76	Adenovirus:Type_37_Strain_GW_[76-19026]:770:-	3850	
Adenovirus:Type_37_Strain_GW_[76-19026]:76:+	77	Adenovirus:Type_37_Strain_GW_[76-19026]:771:-	3900	
Adenovirus:Type_37_Strain_GW_[76-19026]:77:+	78	Adenovirus:Type_37_Strain_GW_[76-19026]:772:-	3950	
Adenovirus:Type_37_Strain_GW_[76-19026]:78:+	79	Adenovirus:Type_37_Strain_GW_[76-19026]:773:-	4000	
Adenovirus:Type_37_Strain_GW_[76-19026]:79:+	80	Adenovirus:Type_37_Strain_GW_[76-19026]:774:-	4050	
Adenovirus:Type_37_Strain_GW_[76-19026]:80:+	81	Adenovirus:Type_37_Strain_GW_[76-19026]:775:-	4100	
Adenovirus:Type_37_Strain_GW_[76-19026]:81:+	82	Adenovirus:Type_37_Strain_GW_[76-19026]:776:-	4150	
Adenovirus:Type_37_Strain_GW_[76-19026]:82:+	83	Adenovirus:Type_37_Strain_GW_[76-19026]:777:-	4200	
Adenovirus:Type_37_Strain_GW_[76-19026]:83:+	84	Adenovirus:Type_37_Strain_GW_[76-19026]:778:-	4250	
Adenovirus:Type_37_Strain_GW_[76-19026]:84:+	85	Adenovirus:Type_37_Strain_GW_[76-19026]:779:-	4300	
Adenovirus:Type_37_Strain_GW_[76-19026]:85:+	86	Adenovirus:Type_37_Strain_GW_[76-19026]:780:-	4350	
Adenovirus:Type_37_Strain_GW_[76-19026]:86:+	87	Adenovirus:Type_37_Strain_GW_[76-19026]:781:-	4400	
Adenovirus:Type_37_Strain_GW_[76-19026]:87:+	88	Adenovirus:Type_37_Strain_GW_[76-19026]:782:-	4450	
Adenovirus:Type_37_Strain_GW_[76-19026]:88:+	89	Adenovirus:Type_37_Strain_GW_[76-19026]:783:-	4500	
Adenovirus:Type_37_Strain_GW_[76-19026]:89:+	90	Adenovirus:Type_37_Strain_GW_[76-19026]:784:-	4550	
Adenovirus:Type_37_Strain_GW_[76-19026]:90:+	91	Adenovirus:Type_37_Strain_GW_[76-19026]:785:-	4600	
Adenovirus:Type_37_Strain_GW_[76-19026]:91:+	92	Adenovirus:Type_37_Strain_GW_[76-19026]:786:-	4650	
Adenovirus:Type_37_Strain_GW_[76-19026]:92:+	93	Adenovirus:Type_37_Strain_GW_[76-19026]:787:-	4700	
Adenovirus:Type_37_Strain_GW_[76-19026]:93:+	94	Adenovirus:Type_37_Strain_GW_[76-19026]:788:-	4750	
Adenovirus:Type_37_Strain_GW_[76-19026]:94:+	95	Adenovirus:Type_37_Strain_GW_[76-19026]:789:-	4800	
Adenovirus:Type_37_Strain_GW_[76-19026]:95:+	96	Adenovirus:Type_37_Strain_GW_[76-19026]:790:-	4850	
Adenovirus:Type_37_Strain_GW_[76-19026]:96:+	97	Adenovirus:Type_37_Strain_GW_[76-19026]:791:-	4900	
Adenovirus:Type_37_Strain_GW_[76-19026]:97:+	98	Adenovirus:Type_37_Strain_GW_[76-19026]:792:-	4950	
Adenovirus:Type_37_Strain_GW_[76-19026]:98:+	99	Adenovirus:Type_37_Strain_GW_[76-19026]:793:-	5000	
Adenovirus:Type_37_Strain_GW_[76-19026]:99:+	100	Adenovirus:Type_37_Strain_GW_[76-19026]:794:-	5050	
Adenovirus:Type_37_Strain_GW_[76-19026]:100:+	101	Adenovirus:Type_37_Strain_GW_[76-19026]:795:-	5100	
Adenovirus:Type_37_Strain_GW_[76-19026]:101:+	102	Adenovirus:Type_37_Strain_GW_[76-19026]:796:-	5150	
Adenovirus:Type_37_Strain_GW_[76-19026]:102:+	103	Adenovirus:Type_37_Strain_GW_[76-19026]:797:-	5200	
Adenovirus:Type_37_Strain_GW_[76-19026]:103:+	104	Adenovirus:Type_37_Strain_GW_[76-19026]:798:-	5250	
Adenovirus:Type_37_Strain_GW_[76-19026]:104:+	105	Adenovirus:Type_37_Strain_GW_[76-19026]:799:-	5300	
Adenovirus:Type_37_Strain_GW_[76-19026]:105:+	106	Adenovirus:Type_37_Strain_GW_[76-19026]:800:-	5350	
Adenovirus:Type_37_Strain_GW_[76-19026]:106:+	107	Adenovirus:Type_37_Strain_GW_[76-19026]:801:-	5400	
Adenovirus:Type_37_Strain_GW_[76-19026]:107:+	108	Adenovirus:Type_37_Strain_GW_[76-19026]:802:-	5450	
Adenovirus:Type_37_Strain_GW_[76-19026]:108:+	109	Adenovirus:Type_37_Strain_GW_[76-19026]:803:-	5500	
Adenovirus:Type_37_Strain_GW_[76-19026]:109:+	110	Adenovirus:Type_37_Strain_GW_[76-19026]:804:-	5550	
Adenovirus:Type_37_Strain_GW_[76-19026]:110:+	111	Adenovirus:Type_37_Strain_GW_[76-19026]:805:-	5600	
Adenovirus:Type_37_Strain_GW_[76-19026]:111:+	112	Adenovirus:Type_37_Strain_GW_[76-19026]:806:-	5650	
Adenovirus:Type_37_Strain_GW_[76-19026]:112:+	113	Adenovirus:Type_37_Strain_GW_[76-19026]:807:-	5700	
Adenovirus:Type_37_Strain_GW_[76-19026]:113:+	114	Adenovirus:Type_37_Strain_GW_[76-19026]:808:-	5750	
Adenovirus:Type_37_Strain_GW_[76-19026]:114:+	115	Adenovirus:Type_37_Strain_GW_[76-19026]:809:-	5800	
Adenovirus:Type_37_Strain_GW_[76-19026]:115:+	116	Adenovirus:Type_37_Strain_GW_[76-19026]:810:-	5850	
Adenovirus:Type_37_Strain_GW_[76-19026]:116:+	117	Adenovirus:Type_37_Strain_GW_[76-19026]:811:-	5900	
Adenovirus:Type_37_Strain_GW_[76-19026]:117:+	118	Adenovirus:Type_37_Strain_GW_[76-19026]:812:-	5950	
Adenovirus:Type_37_Strain_GW_[76-19026]:118:+	119	Adenovirus:Type_37_Strain_GW_[76-19026]:813:-	6000	
Adenovirus:Type_37_Strain_GW_[76-19026]:119:+	120	Adenovirus:Type_37_Strain_GW_[76-19026]:814:-	6050	
Adenovirus:Type_37_Strain_GW_[76-19026]:120:+	121	Adenovirus:Type_37_Strain_GW_[76-19026]:815:-	6100	
Adenovirus:Type_37_Strain_GW_[76-19026]:121:+	122	Adenovirus:Type_37_Strain_GW_[76-19026]:816:-	6150	
Adenovirus:Type_37_Strain_GW_[76-19026]:122:+	123	Adenovirus:Type_37_Strain_GW_[76-19026]:817:-	6200	
Adenovirus:Type_37_Strain_GW_[76-19026]:123:+	124	Adenovirus:Type_37_Strain_GW_[76-19026]:818:-	6250	
Adenovirus:Type_37_Strain_GW_[76-19026]:124:+	125	Adenovirus:Type_37_Strain_GW_[76-19026]:819:-	6300	
Adenovirus:Type_37_Strain_GW_[76-19026]:125:+	126	Adenovirus:Type_37_Strain_GW_[76-19026]:820:-	6350	
Adenovirus:Type_37_Strain_GW_[76-19026]:126:+	127	Adenovirus:Type_37_Strain_GW_[76-19026]:821:-	6400	
Adenovirus:Type_37_Strain_GW_[76-19026]:127:+	128	Adenovirus:Type_37_Strain_GW_[76-19026]:822:-	6450	
Adenovirus:Type_37_Strain_GW_[76-19026]:128:+	129	Adenovirus:Type_37_Strain_GW_[76-19026]:823:-	6500	
Adenovirus:Type_37_Strain_GW_[76-19026]:129:+	130	Adenovirus:Type_37_Strain_GW_[76-19026]:824:-	6550	
Adenovirus:Type_37_Strain_GW_[76-19026]:130:+	131	Adenovirus:Type_37_Strain_GW_[76-19026]:825:-	6600	
Adenovirus:Type_37_Strain_GW_[76-19026]:131:+	132	Adenovirus:Type_37_Strain_GW_[76-19026]:826:-	6650	
Adenovirus:Type_37_Strain_GW_[76-19026]:132:+	133	Adenovirus:Type_37_Strain_GW_[76-19026]:827:-	6700	
Adenovirus:Type_37_Strain_GW_[76-19026]:133:+	134	Adenovirus:Type_37_Strain_GW_[76-19026]:828:-	6750	
Adenovirus:Type_37_Strain_GW_[76-19026]:134:+	135	Adenovirus:Type_37_Strain_GW_[76-19026]:829:-	6800	
Adenovirus:Type_37_Strain_GW_[76-19026]:135:+	136	Adenovirus:Type_37_Strain_GW_[76-19026]:830:-	6850	
Adenovirus:Type_37_Strain_GW_[76-19026]:136:+	137	Adenovirus:Type_37_Strain_GW_[76-19026]:831:-	6900	
Adenovirus:Type_37_Strain_GW_[76-19026]:137:+	138	Adenovirus:Type_37_Strain_GW_[76-19026]:832:-	6950	
Adenovirus:Type_37_Strain_GW_[76-19026]:138:+	139	Adenovirus:Type_37_Strain_GW_[76-19026]:833:-	7000	
Adenovirus:Type_37_Strain_GW_[76-19026]:139:+	140	Adenovirus:Type_37_Strain_GW_[76-19026]:834:-	7050	
Adenovirus:Type_37_Strain_GW_[76-19026]:140:+	141	Adenovirus:Type_37_Strain_GW_[76-19026]:835:-	7100	
Adenovirus:Type_37_Strain_GW_[76-19026]:141:+	142	Adenovirus:Type_37_Strain_GW_[76-19026]:836:-	7150	
Adenovirus:Type_37_Strain_GW_[76-19026]:142:+	143	Adenovirus:Type_37_Strain_GW_[76-19026]:837:-	7200	
Adenovirus:Type_37_Strain_GW_[76-19026]:143:+	144	Adenovirus:Type_37_Strain_GW_[76-19026]:838:-	7250	
Adenovirus:Type_37_Strain_GW_[76-19026]:144:+	145	Adenovirus:Type_37_Strain_GW_[76-19026]:839:-	7300	
Adenovirus:Type_37_Strain_GW_[76-19026]:145:+	146	Adenovirus:Type_37_Strain_GW_[76-19026]:840:-	7350	
Adenovirus:Type_37_Strain_GW_[76-19026]:146:+	147	Adenovirus:Type_37_Strain_GW_[76-19026]:841:-	7400	
Adenovirus:Type_37_Strain_GW_[76-19026]:147:+	148	Adenovirus:Type_37_Strain_GW_[76-19026]:842:-	7450	
Adenovirus:Type_37_Strain_GW_[76-19026]:148:+	149	Adenovirus:Type_37_Strain_GW_[76-19026]:843:-	7500	
Adenovirus:Type_37_Strain_GW_[76-19026]:149:+	150	Adenovirus:Type_37_Strain_GW_[76-19026]:844:-	7550	
Adenovirus:Type_37_Strain_GW_[76-19026]:150:+	151	Adenovirus:Type_37_Strain_GW_[76-19026]:845:-	7600	
Adenovirus:Type_37_Strain_GW_[76-19026]:151:+	152	Adenovirus:Type_37_Strain_GW_[76-19026]:846:-	7650	
Adenovirus:Type_37_Strain_GW_[76-19026]:152:+	153	Adenovirus:Type_37_Strain_GW_[76-19026]:847:-	7700	
Adenovirus:Type_37_Strain_GW_[76-19026]:153:+	154	Adenovirus:Type_37_Strain_GW_[76-19026]:848:-	7750	
Adenovirus:Type_37_Strain_GW_[76-19026]:154:+	155	Adenovirus:Type_37_Strain_GW_[76-19026]:849:-	7800	
Adenovirus:Type_37_Strain_GW_[76-19026]:155:+	156	Adenovirus:Type_37_Strain_GW_[76-19026]:850:-	7850	
Adenovirus:Type_37_Strain_GW_[76-19026]:156:+	157	Adenovirus:Type_37_Strain_GW_[76-19026]:851:-	7900	
Adenovirus:Type_37_Strain_GW_[76-19026]:157:+	158	Adenovirus:Type_37_Strain_GW_[76-19026]:852:-	7950	
Adenovirus:Type_37_Strain_GW_[76-19026]:158:+	159	Adenovirus:Type_37_Strain_GW_[76-19026]:853:-	8000	
Adenovirus:Type_37_Strain_GW_[76-19026]:159:+	160	Adenovirus:Type_37_Strain_GW_[76-19026]:854:-	8050	
Adenovirus:Type_37_Strain_GW_[76-19026]:160:+	161	Adenovirus:Type_37_Strain_GW_[76-19026]:855:-	8100	
Adenovirus:Type_37_Strain_GW_[76-19026]:161:+	162	Adenovirus:Type_37_Strain_GW_[76-19026]:856:-	8150	
Adenovirus:Type_37_Strain_GW_[76-19026]:162:+	163	Adenovirus:Type_37_Strain_GW_[76-19026]:857:-	8200	
Adenovirus:Type_37_Strain_GW_[76-19026]:163:+	164	Adenovirus:Type_37_Strain_GW_[76-19026]:858:-	8250	
Adenovirus:Type_37_Strain_GW_[76-19026]:164:+	165	Adenovirus:Type_37_Strain_GW_[76-19026]:859:-	8300	
Adenovirus:Type_37_Strain_GW_[76-19026]:165:+	166	Adenovirus:Type_37_Strain_GW_[76-19026]:860:-	8350	
Adenovirus:Type_37_Strain_GW_[76-19026]:166:+	167	Adenovirus:Type_37_Strain_GW_[76-19026]:861:-	8400	
Adenovirus:Type_37_Strain_GW_[76-19026]:167:+	168	Adenovirus:Type_37_Strain_GW_[76-19026]:862:-	8450	
Adenovirus:Type_37_Strain_GW_[76-19026]:168:+	169	Adenovirus:Type_37_Strain_GW_[76-19026]:863:-	8500	
Adenovirus:Type_37_Strain_GW_[76-19026]:169:+	170	Adenovirus:Type_37_Strain_GW_[76-19026]:864:-	8550	
Adenovirus:Type_37_Strain_GW_[76-19026]:170:+	171	Adenovirus:Type_37_Strain_GW_[76-19026]:865:-	8600	
Adenovirus:Type_37_Strain_GW_[76-19026]:171:+	172	Adenovirus:Type_37_Strain_GW_[76-19026]:866:-	8650	
Adenovirus:Type_37_Strain_GW_[76-19026]:172:+	173	Adenovirus:Type_37_Strain_GW_[76-19026]:867:-	8700	
Adenovirus:Type_37_Strain_GW_[76-19026]:173:+	174	Adenovirus:Type_37_Strain_GW_[76-19026]:868:-	8750	
Adenovirus:Type_37_Strain_GW_[76-19026]:174:+	175	Adenovirus:Type_37_Strain_GW_[76-19026]:869:-	8800	
Adenovirus:Type_37_Strain_GW_[76-19026]:175:+	176	Adenovirus:Type_37_Strain_GW_[76-19026]:870:-	8850	
Adenovirus:Type_37_Strain_GW_[76-19026]:176:+	177	Adenovirus:Type_37_Strain_GW_[76-19026]:871:-	8900	
Adenovirus:Type_37_Strain_GW_[76-19026]:177:+	178	Adenovirus:Type_37_Strain_GW_[76-19026]:872:-	8950	
Adenovirus:Type_37_Strain_GW_[76-19026]:178:+	179	Adenovirus:Type_37_Strain_GW_[76-19026]:873:-	9000	
Adenovirus:Type_37_Strain_GW_[76-19026]:179:+	180	Adenovirus:Type_37_Strain_GW_[76-19026]:874:-	9050	
Adenovirus:Type_37_Strain_GW_[76-19026]:180:+	181	Adenovirus:Type_37_Strain_GW_[76-19026]:875:-	9100	
Adenovirus:Type_37_Strain_GW_[76-19026]:181:+	182	Adenovirus:Type_37_Strain_GW_[76-19026]:876:-	9150	
Adenovirus:Type_37_Strain_GW_[76-19026]:182:+	183	Adenovirus:Type_37_Strain_GW_[76-19026]:877:-	9200	
Adenovirus:Type_37_Strain_GW_[76-19026]:183:+	184	Adenovirus:Type_37_Strain_GW_[76-19026]:878:-	9250	
Adenovirus:Type_37_Strain_GW_[76-19026]:184:+	185	Adenovirus:Type_37_Strain_GW_[76-19026]:879:-	9300	
Adenovirus:Type_37_Strain_GW_[76-19026]:185:+	186	Adenovirus:Type_37_Strain_GW_[76-19026]:880:-	9350	
Adenovirus:Type_37_Strain_GW_[76-19026]:186:+	187	Adenovirus:Type_37_Strain_GW_[76-19026]:881:-	9400	
Adenovirus:Type_37_Strain_GW_[76-19026]:187:+	188	Adenovirus:Type_37_Strain_GW_[76-19026]:882:-	9450	
Adenovirus:Type_37_Strain_GW_[76-19026]:188:+	189	Adenovirus:Type_37_Strain_GW_[76-19026]:883:-	9500	
Adenovirus:Type_37_Strain_GW_[76-19026]:189:+	190	Adenovirus:Type_37_Strain_GW_[76-19026]:884:-	9550	
Adenovirus:Type_37_Strain_GW_[76-19026]:190:+	191	Adenovirus:Type_37_Strain_GW_[76-19026]:885:-	9600	
Adenovirus:Type_37_Strain_GW_[76-19026]:191:+	192	Adenovirus:Type_37_Strain_GW_[76-19026]:886:-	9650	
Adenovirus:Type_37_Strain_GW_[76-19026]:192:+	193	Adenovirus:Type_37_Strain_GW_[76-19026]:887:-	9700	
Adenovirus:Type_37_Strain_GW_[76-19026]:193:+	194	Adenovirus:Type_37_Strain_GW_[76-19026]:888:-	9750	
Adenovirus:Type_37_Strain_GW_[76-19026]:194:+	195	Adenovirus:Type_37_Strain_GW_[76-19026]:889:-	9800	
Adenovirus:Type_37_Strain_GW_[76-19026]:195:+	196	Adenovirus:Type_37_Strain_GW_[76-19026]:890:-	9850	
Adenovirus:Type_37_Strain_GW_[76-19026]:196:+	197	Adenovirus:Type_37_Strain_GW_[76-19026]:891:-	9900	
Adenovirus:Type_37_Strain_GW_[76-19026]:197:+	198	Adenovirus:Type_37_Strain_GW_[76-19026]:892:-	9950	
Adenovirus:Type_37_Strain_GW_[76-19026]:198:+	199	Adenovirus:Type_37_Strain_GW_[76-19026]:893:-	10000	
Adenovirus:Type_37_Strain_GW_[76-19026]:199:+	200	Adenovirus:Type_37_Strain_GW_[76-19026]:894:-	10050	
Adenovirus:Type_37_Strain_GW_[76-19026]:200:+	201	Adenovirus:Type_37_Strain_GW_[76-19026]:895:-	10100	
Adenovirus:Type_37_Strain_GW_[76-19026]:201:+	202	Adenovirus:Type_37_Strain_GW_[76-19026]:896:-	10150	
Adenovirus:Type_37_Strain_GW_[76-19026]:202:+	203	Adenovirus:Type_37_Strain_GW_[76-19026]:897:-	10200	
Adenovirus:Type_37_Strain_GW_[76-19026]:203:+	204	Adenovirus:Type_37_Strain_GW_[76-19026]:898:-	10250	
Adenovirus:Type_37_Strain_GW_[76-19026]:204:+	205	Adenovirus:Type_37_Strain_GW_[76-19026]:899:-	10300	
Adenovirus:Type_37_Strain_GW_[76-19026]:205:+	206	Adenovirus:Type_37_Strain_GW_[76-19026]:900:-	10350	
Adenovirus:Type_37_Strain_GW_[76-19026]:206:+	207	Adenovirus:Type_37_Strain_GW_[76-19026]:901:-	10400	
Adenovirus:Type_37_Strain_GW_[76-19026]:207:+	208	Adenovirus:Type_37_Strain_GW_[76-19026]:902:-	10450	
Adenovirus:Type_37_Strain_GW_[76-19026]:208:+	209	Adenovirus:Type_37_Strain_GW_[76-19026]:903:-	10500	
Adenovirus:Type_37_Strain_GW_[76-19026]:209:+	210	Adenovirus:Type_37_Strain_GW_[76-19026]:904:-	10550	
Adenovirus:Type_37_Strain_GW_[76-19026]:210:+	211	Adenovirus:Type_37_Strain_GW_[76-19026]:905:-	10600	
