sense	number	antisense	bp
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:43:+	43	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2536:-	2200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:44:+	44	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2537:-	2250
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:45:+	45	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2538:-	2300
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:46:+	46	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2539:-	2350
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:47:+	47	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2540:-	2400
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:48:+	48	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2541:-	2450
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:49:+	49	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2542:-	2500
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:50:+	50	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2543:-	2550
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:51:+	51	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2544:-	2600
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:52:+	52	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2545:-	2650
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:53:+	53	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2546:-	2700
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:54:+	54	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2547:-	2750
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:55:+	55	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2548:-	2800
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:56:+	56	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2549:-	2850
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:57:+	57	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2550:-	2900
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:58:+	58	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2551:-	2950
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:59:+	59	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2552:-	3000
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:60:+	60	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2553:-	3050
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:61:+	61	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2554:-	3100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:62:+	62	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2555:-	3150
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:63:+	63	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2556:-	3200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:64:+	64	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2557:-	3250
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:65:+	65	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2558:-	3300
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:66:+	66	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2559:-	3350
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:67:+	67	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2560:-	3400
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:68:+	68	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2561:-	3450
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:69:+	69	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2562:-	3500
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:70:+	70	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2563:-	3550
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:71:+	71	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2564:-	3600
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:72:+	72	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2565:-	3650
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:73:+	73	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2566:-	3700
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:74:+	74	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2567:-	3750
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:75:+	75	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2568:-	3800
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:76:+	76	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2569:-	3850
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:77:+	77	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2570:-	3900
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:78:+	78	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2571:-	3950
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:79:+	79	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2572:-	4000
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:80:+	80	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2573:-	4050
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:81:+	81	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2574:-	4100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:82:+	82	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2575:-	4150
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:83:+	83	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2576:-	4200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:84:+	84	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2577:-	4250
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:85:+	85	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2578:-	4300
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:86:+	86	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2579:-	4350
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:87:+	87	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2580:-	4400
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:88:+	88	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2581:-	4450
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:89:+	89	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2582:-	4500
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:90:+	90	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2583:-	4550
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:91:+	91	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2584:-	4600
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:92:+	92	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2585:-	4650
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:93:+	93	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2586:-	4700
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:94:+	94	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2587:-	4750
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:95:+	95	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2588:-	4800
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:96:+	96	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2589:-	4850
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:97:+	97	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2590:-	4900
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:98:+	98	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2591:-	4950
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:99:+	99	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2592:-	5000
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:100:+	100	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2593:-	5050
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:101:+	101	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2594:-	5100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:102:+	102	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2595:-	5150
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:103:+	103	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2596:-	5200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:104:+	104	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2597:-	5250
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:105:+	105	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2598:-	5300
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:106:+	106	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2599:-	5350
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:107:+	107	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2600:-	5400
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:108:+	108	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2601:-	5450
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:109:+	109	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2602:-	5500
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:110:+	110	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2603:-	5550
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:111:+	111	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2604:-	5600
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:112:+	112	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2605:-	5650
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:113:+	113	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2606:-	5700
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:114:+	114	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2607:-	5750
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:115:+	115	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2608:-	5800
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:116:+	116	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2609:-	5850
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:117:+	117	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2610:-	5900
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:118:+	118	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2611:-	5950
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:119:+	119	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2612:-	6000
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:120:+	120	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2613:-	6050
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:121:+	121	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2614:-	6100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:122:+	122	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2615:-	6150
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:123:+	123	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2616:-	6200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:124:+	124	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2617:-	6250
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:125:+	125	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2618:-	6300
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:126:+	126	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2619:-	6350
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:127:+	127	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2620:-	6400
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:128:+	128	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2621:-	6450
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:129:+	129	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2622:-	6500
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:130:+	130	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2623:-	6550
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:131:+	131	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2624:-	6600
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:132:+	132	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2625:-	6650
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:133:+	133	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2626:-	6700
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:134:+	134	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2627:-	6750
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:135:+	135	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2628:-	6800
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:136:+	136	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2629:-	6850
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:137:+	137	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2630:-	6900
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:138:+	138	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2631:-	6950
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:139:+	139	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2632:-	7000
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:140:+	140	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2633:-	7050
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:141:+	141	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2634:-	7100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:142:+	142	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2635:-	7150
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:143:+	143	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2636:-	7200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:144:+	144	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2637:-	7250
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:145:+	145	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2638:-	7300
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:146:+	146	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2639:-	7350
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:147:+	147	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2640:-	7400
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:148:+	148	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2641:-	7450
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:149:+	149	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2642:-	7500
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:150:+	150	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2643:-	7550
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:151:+	151	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2644:-	7600
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:152:+	152	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2645:-	7650
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:153:+	153	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2646:-	7700
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:154:+	154	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2647:-	7750
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:155:+	155	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2648:-	7800
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:156:+	156	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2649:-	7850
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:157:+	157	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2650:-	7900
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:158:+	158	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2651:-	7950
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:159:+	159	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2652:-	8000
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:160:+	160	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2653:-	8050
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:161:+	161	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2654:-	8100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:162:+	162	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2655:-	8150
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:163:+	163	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2656:-	8200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:164:+	164	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2657:-	8250
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:165:+	165	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2658:-	8300
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:166:+	166	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2659:-	8350
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:167:+	167	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2660:-	8400
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:168:+	168	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2661:-	8450
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:169:+	169	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2662:-	8500
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:170:+	170	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2663:-	8550
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:171:+	171	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2664:-	8600
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:172:+	172	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2665:-	8650
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:173:+	173	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2666:-	8700
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:174:+	174	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2667:-	8750
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:175:+	175	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2668:-	8800
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:176:+	176	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2669:-	8850
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:177:+	177	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2670:-	8900
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:178:+	178	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2671:-	8950
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:179:+	179	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2672:-	9000
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:180:+	180	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2673:-	9050
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:181:+	181	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2674:-	9100
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:182:+	182	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2675:-	9150
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:183:+	183	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2676:-	9200
Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:184:+	184	Herpesvirus:Varicella_Zoster_Virus_Ellen_Strain:2677:-	9250
