sense	number	antisense	bp
Herpesvirus:Herpes_Simplex_1_KOS:17:+	17	Herpesvirus:Herpes_Simplex_1_KOS:3054:-	900
Herpesvirus:Herpes_Simplex_1_KOS:18:+	18	Herpesvirus:Herpes_Simplex_1_KOS:3055:-	950
Herpesvirus:Herpes_Simplex_1_KOS:19:+	19	Herpesvirus:Herpes_Simplex_1_KOS:3056:-	1000
Herpesvirus:Herpes_Simplex_1_KOS:20:+	20	Herpesvirus:Herpes_Simplex_1_KOS:3057:-	1050
Herpesvirus:Herpes_Simplex_1_KOS:21:+	21	Herpesvirus:Herpes_Simplex_1_KOS:3058:-	1100
Herpesvirus:Herpes_Simplex_1_KOS:22:+	22	Herpesvirus:Herpes_Simplex_1_KOS:3059:-	1150
Herpesvirus:Herpes_Simplex_1_KOS:23:+	23	Herpesvirus:Herpes_Simplex_1_KOS:3060:-	1200
Herpesvirus:Herpes_Simplex_1_KOS:24:+	24	Herpesvirus:Herpes_Simplex_1_KOS:3061:-	1250
Herpesvirus:Herpes_Simplex_1_KOS:25:+	25	Herpesvirus:Herpes_Simplex_1_KOS:3062:-	1300
Herpesvirus:Herpes_Simplex_1_KOS:26:+	26	Herpesvirus:Herpes_Simplex_1_KOS:3063:-	1350
Herpesvirus:Herpes_Simplex_1_KOS:27:+	27	Herpesvirus:Herpes_Simplex_1_KOS:3064:-	1400
Herpesvirus:Herpes_Simplex_1_KOS:28:+	28	Herpesvirus:Herpes_Simplex_1_KOS:3065:-	1450
Herpesvirus:Herpes_Simplex_1_KOS:29:+	29	Herpesvirus:Herpes_Simplex_1_KOS:3066:-	1500
Herpesvirus:Herpes_Simplex_1_KOS:30:+	30	Herpesvirus:Herpes_Simplex_1_KOS:3067:-	1550
Herpesvirus:Herpes_Simplex_1_KOS:31:+	31	Herpesvirus:Herpes_Simplex_1_KOS:3068:-	1600
Herpesvirus:Herpes_Simplex_1_KOS:32:+	32	Herpesvirus:Herpes_Simplex_1_KOS:3069:-	1650
Herpesvirus:Herpes_Simplex_1_KOS:33:+	33	Herpesvirus:Herpes_Simplex_1_KOS:3070:-	1700
Herpesvirus:Herpes_Simplex_1_KOS:34:+	34	Herpesvirus:Herpes_Simplex_1_KOS:3071:-	1750
Herpesvirus:Herpes_Simplex_1_KOS:35:+	35	Herpesvirus:Herpes_Simplex_1_KOS:3072:-	1800
Herpesvirus:Herpes_Simplex_1_KOS:36:+	36	Herpesvirus:Herpes_Simplex_1_KOS:3073:-	1850
Herpesvirus:Herpes_Simplex_1_KOS:37:+	37	Herpesvirus:Herpes_Simplex_1_KOS:3074:-	1900
Herpesvirus:Herpes_Simplex_1_KOS:38:+	38	Herpesvirus:Herpes_Simplex_1_KOS:3075:-	1950
Herpesvirus:Herpes_Simplex_1_KOS:39:+	39	Herpesvirus:Herpes_Simplex_1_KOS:3076:-	2000
Herpesvirus:Herpes_Simplex_1_KOS:40:+	40	Herpesvirus:Herpes_Simplex_1_KOS:3077:-	2050
Herpesvirus:Herpes_Simplex_1_KOS:41:+	41	Herpesvirus:Herpes_Simplex_1_KOS:3078:-	2100
Herpesvirus:Herpes_Simplex_1_KOS:42:+	42	Herpesvirus:Herpes_Simplex_1_KOS:3079:-	2150
Herpesvirus:Herpes_Simplex_1_KOS:43:+	43	Herpesvirus:Herpes_Simplex_1_KOS:3080:-	2200
Herpesvirus:Herpes_Simplex_1_KOS:44:+	44	Herpesvirus:Herpes_Simplex_1_KOS:3081:-	2250
Herpesvirus:Herpes_Simplex_1_KOS:45:+	45	Herpesvirus:Herpes_Simplex_1_KOS:3082:-	2300
Herpesvirus:Herpes_Simplex_1_KOS:46:+	46	Herpesvirus:Herpes_Simplex_1_KOS:3083:-	2350
Herpesvirus:Herpes_Simplex_1_KOS:47:+	47	Herpesvirus:Herpes_Simplex_1_KOS:3084:-	2400
Herpesvirus:Herpes_Simplex_1_KOS:48:+	48	Herpesvirus:Herpes_Simplex_1_KOS:3085:-	2450
Herpesvirus:Herpes_Simplex_1_KOS:49:+	49	Herpesvirus:Herpes_Simplex_1_KOS:3086:-	2500
Herpesvirus:Herpes_Simplex_1_KOS:50:+	50	Herpesvirus:Herpes_Simplex_1_KOS:3087:-	2550
Herpesvirus:Herpes_Simplex_1_KOS:51:+	51	Herpesvirus:Herpes_Simplex_1_KOS:3088:-	2600
Herpesvirus:Herpes_Simplex_1_KOS:52:+	52	Herpesvirus:Herpes_Simplex_1_KOS:3089:-	2650
Herpesvirus:Herpes_Simplex_1_KOS:53:+	53	Herpesvirus:Herpes_Simplex_1_KOS:3090:-	2700
Herpesvirus:Herpes_Simplex_1_KOS:54:+	54	Herpesvirus:Herpes_Simplex_1_KOS:3091:-	2750
Herpesvirus:Herpes_Simplex_1_KOS:55:+	55	Herpesvirus:Herpes_Simplex_1_KOS:3092:-	2800
Herpesvirus:Herpes_Simplex_1_KOS:56:+	56	Herpesvirus:Herpes_Simplex_1_KOS:3093:-	2850
Herpesvirus:Herpes_Simplex_1_KOS:57:+	57	Herpesvirus:Herpes_Simplex_1_KOS:3094:-	2900
Herpesvirus:Herpes_Simplex_1_KOS:58:+	58	Herpesvirus:Herpes_Simplex_1_KOS:3095:-	2950
Herpesvirus:Herpes_Simplex_1_KOS:59:+	59	Herpesvirus:Herpes_Simplex_1_KOS:3096:-	3000
Herpesvirus:Herpes_Simplex_1_KOS:60:+	60	Herpesvirus:Herpes_Simplex_1_KOS:3097:-	3050
Herpesvirus:Herpes_Simplex_1_KOS:61:+	61	Herpesvirus:Herpes_Simplex_1_KOS:3098:-	3100
Herpesvirus:Herpes_Simplex_1_KOS:62:+	62	Herpesvirus:Herpes_Simplex_1_KOS:3099:-	3150
Herpesvirus:Herpes_Simplex_1_KOS:63:+	63	Herpesvirus:Herpes_Simplex_1_KOS:3100:-	3200
Herpesvirus:Herpes_Simplex_1_KOS:64:+	64	Herpesvirus:Herpes_Simplex_1_KOS:3101:-	3250
Herpesvirus:Herpes_Simplex_1_KOS:65:+	65	Herpesvirus:Herpes_Simplex_1_KOS:3102:-	3300
Herpesvirus:Herpes_Simplex_1_KOS:66:+	66	Herpesvirus:Herpes_Simplex_1_KOS:3103:-	3350
Herpesvirus:Herpes_Simplex_1_KOS:67:+	67	Herpesvirus:Herpes_Simplex_1_KOS:3104:-	3400
Herpesvirus:Herpes_Simplex_1_KOS:68:+	68	Herpesvirus:Herpes_Simplex_1_KOS:3105:-	3450
Herpesvirus:Herpes_Simplex_1_KOS:69:+	69	Herpesvirus:Herpes_Simplex_1_KOS:3106:-	3500
Herpesvirus:Herpes_Simplex_1_KOS:70:+	70	Herpesvirus:Herpes_Simplex_1_KOS:3107:-	3550
Herpesvirus:Herpes_Simplex_1_KOS:71:+	71	Herpesvirus:Herpes_Simplex_1_KOS:3108:-	3600
Herpesvirus:Herpes_Simplex_1_KOS:72:+	72	Herpesvirus:Herpes_Simplex_1_KOS:3109:-	3650
Herpesvirus:Herpes_Simplex_1_KOS:73:+	73	Herpesvirus:Herpes_Simplex_1_KOS:3110:-	3700
Herpesvirus:Herpes_Simplex_1_KOS:74:+	74	Herpesvirus:Herpes_Simplex_1_KOS:3111:-	3750
Herpesvirus:Herpes_Simplex_1_KOS:75:+	75	Herpesvirus:Herpes_Simplex_1_KOS:3112:-	3800
Herpesvirus:Herpes_Simplex_1_KOS:76:+	76	Herpesvirus:Herpes_Simplex_1_KOS:3113:-	3850
Herpesvirus:Herpes_Simplex_1_KOS:77:+	77	Herpesvirus:Herpes_Simplex_1_KOS:3114:-	3900
Herpesvirus:Herpes_Simplex_1_KOS:78:+	78	Herpesvirus:Herpes_Simplex_1_KOS:3115:-	3950
Herpesvirus:Herpes_Simplex_1_KOS:79:+	79	Herpesvirus:Herpes_Simplex_1_KOS:3116:-	4000
Herpesvirus:Herpes_Simplex_1_KOS:80:+	80	Herpesvirus:Herpes_Simplex_1_KOS:3117:-	4050
Herpesvirus:Herpes_Simplex_1_KOS:81:+	81	Herpesvirus:Herpes_Simplex_1_KOS:3118:-	4100
Herpesvirus:Herpes_Simplex_1_KOS:82:+	82	Herpesvirus:Herpes_Simplex_1_KOS:3119:-	4150
Herpesvirus:Herpes_Simplex_1_KOS:83:+	83	Herpesvirus:Herpes_Simplex_1_KOS:3120:-	4200
Herpesvirus:Herpes_Simplex_1_KOS:84:+	84	Herpesvirus:Herpes_Simplex_1_KOS:3121:-	4250
Herpesvirus:Herpes_Simplex_1_KOS:85:+	85	Herpesvirus:Herpes_Simplex_1_KOS:3122:-	4300
Herpesvirus:Herpes_Simplex_1_KOS:86:+	86	Herpesvirus:Herpes_Simplex_1_KOS:3123:-	4350
Herpesvirus:Herpes_Simplex_1_KOS:87:+	87	Herpesvirus:Herpes_Simplex_1_KOS:3124:-	4400
Herpesvirus:Herpes_Simplex_1_KOS:88:+	88	Herpesvirus:Herpes_Simplex_1_KOS:3125:-	4450
Herpesvirus:Herpes_Simplex_1_KOS:89:+	89	Herpesvirus:Herpes_Simplex_1_KOS:3126:-	4500
Herpesvirus:Herpes_Simplex_1_KOS:90:+	90	Herpesvirus:Herpes_Simplex_1_KOS:3127:-	4550
Herpesvirus:Herpes_Simplex_1_KOS:91:+	91	Herpesvirus:Herpes_Simplex_1_KOS:3128:-	4600
Herpesvirus:Herpes_Simplex_1_KOS:92:+	92	Herpesvirus:Herpes_Simplex_1_KOS:3129:-	4650
Herpesvirus:Herpes_Simplex_1_KOS:93:+	93	Herpesvirus:Herpes_Simplex_1_KOS:3130:-	4700
Herpesvirus:Herpes_Simplex_1_KOS:94:+	94	Herpesvirus:Herpes_Simplex_1_KOS:3131:-	4750
Herpesvirus:Herpes_Simplex_1_KOS:95:+	95	Herpesvirus:Herpes_Simplex_1_KOS:3132:-	4800
Herpesvirus:Herpes_Simplex_1_KOS:96:+	96	Herpesvirus:Herpes_Simplex_1_KOS:3133:-	4850
Herpesvirus:Herpes_Simplex_1_KOS:97:+	97	Herpesvirus:Herpes_Simplex_1_KOS:3134:-	4900
Herpesvirus:Herpes_Simplex_1_KOS:98:+	98	Herpesvirus:Herpes_Simplex_1_KOS:3135:-	4950
Herpesvirus:Herpes_Simplex_1_KOS:99:+	99	Herpesvirus:Herpes_Simplex_1_KOS:3136:-	5000
Herpesvirus:Herpes_Simplex_1_KOS:100:+	100	Herpesvirus:Herpes_Simplex_1_KOS:3137:-	5050
Herpesvirus:Herpes_Simplex_1_KOS:101:+	101	Herpesvirus:Herpes_Simplex_1_KOS:3138:-	5100
Herpesvirus:Herpes_Simplex_1_KOS:102:+	102	Herpesvirus:Herpes_Simplex_1_KOS:3139:-	5150
Herpesvirus:Herpes_Simplex_1_KOS:103:+	103	Herpesvirus:Herpes_Simplex_1_KOS:3140:-	5200
Herpesvirus:Herpes_Simplex_1_KOS:104:+	104	Herpesvirus:Herpes_Simplex_1_KOS:3141:-	5250
Herpesvirus:Herpes_Simplex_1_KOS:105:+	105	Herpesvirus:Herpes_Simplex_1_KOS:3142:-	5300
Herpesvirus:Herpes_Simplex_1_KOS:106:+	106	Herpesvirus:Herpes_Simplex_1_KOS:3143:-	5350
Herpesvirus:Herpes_Simplex_1_KOS:107:+	107	Herpesvirus:Herpes_Simplex_1_KOS:3144:-	5400
Herpesvirus:Herpes_Simplex_1_KOS:108:+	108	Herpesvirus:Herpes_Simplex_1_KOS:3145:-	5450
Herpesvirus:Herpes_Simplex_1_KOS:109:+	109	Herpesvirus:Herpes_Simplex_1_KOS:3146:-	5500
Herpesvirus:Herpes_Simplex_1_KOS:110:+	110	Herpesvirus:Herpes_Simplex_1_KOS:3147:-	5550
Herpesvirus:Herpes_Simplex_1_KOS:111:+	111	Herpesvirus:Herpes_Simplex_1_KOS:3148:-	5600
Herpesvirus:Herpes_Simplex_1_KOS:112:+	112	Herpesvirus:Herpes_Simplex_1_KOS:3149:-	5650
Herpesvirus:Herpes_Simplex_1_KOS:113:+	113	Herpesvirus:Herpes_Simplex_1_KOS:3150:-	5700
Herpesvirus:Herpes_Simplex_1_KOS:114:+	114	Herpesvirus:Herpes_Simplex_1_KOS:3151:-	5750
Herpesvirus:Herpes_Simplex_1_KOS:115:+	115	Herpesvirus:Herpes_Simplex_1_KOS:3152:-	5800
Herpesvirus:Herpes_Simplex_1_KOS:116:+	116	Herpesvirus:Herpes_Simplex_1_KOS:3153:-	5850
Herpesvirus:Herpes_Simplex_1_KOS:117:+	117	Herpesvirus:Herpes_Simplex_1_KOS:3154:-	5900
Herpesvirus:Herpes_Simplex_1_KOS:118:+	118	Herpesvirus:Herpes_Simplex_1_KOS:3155:-	5950
Herpesvirus:Herpes_Simplex_1_KOS:119:+	119	Herpesvirus:Herpes_Simplex_1_KOS:3156:-	6000
Herpesvirus:Herpes_Simplex_1_KOS:120:+	120	Herpesvirus:Herpes_Simplex_1_KOS:3157:-	6050
Herpesvirus:Herpes_Simplex_1_KOS:121:+	121	Herpesvirus:Herpes_Simplex_1_KOS:3158:-	6100
Herpesvirus:Herpes_Simplex_1_KOS:122:+	122	Herpesvirus:Herpes_Simplex_1_KOS:3159:-	6150
Herpesvirus:Herpes_Simplex_1_KOS:123:+	123	Herpesvirus:Herpes_Simplex_1_KOS:3160:-	6200
Herpesvirus:Herpes_Simplex_1_KOS:124:+	124	Herpesvirus:Herpes_Simplex_1_KOS:3161:-	6250
Herpesvirus:Herpes_Simplex_1_KOS:125:+	125	Herpesvirus:Herpes_Simplex_1_KOS:3162:-	6300
Herpesvirus:Herpes_Simplex_1_KOS:126:+	126	Herpesvirus:Herpes_Simplex_1_KOS:3163:-	6350
Herpesvirus:Herpes_Simplex_1_KOS:127:+	127	Herpesvirus:Herpes_Simplex_1_KOS:3164:-	6400
Herpesvirus:Herpes_Simplex_1_KOS:128:+	128	Herpesvirus:Herpes_Simplex_1_KOS:3165:-	6450
Herpesvirus:Herpes_Simplex_1_KOS:129:+	129	Herpesvirus:Herpes_Simplex_1_KOS:3166:-	6500
Herpesvirus:Herpes_Simplex_1_KOS:130:+	130	Herpesvirus:Herpes_Simplex_1_KOS:3167:-	6550
Herpesvirus:Herpes_Simplex_1_KOS:131:+	131	Herpesvirus:Herpes_Simplex_1_KOS:3168:-	6600
Herpesvirus:Herpes_Simplex_1_KOS:132:+	132	Herpesvirus:Herpes_Simplex_1_KOS:3169:-	6650
Herpesvirus:Herpes_Simplex_1_KOS:133:+	133	Herpesvirus:Herpes_Simplex_1_KOS:3170:-	6700
Herpesvirus:Herpes_Simplex_1_KOS:134:+	134	Herpesvirus:Herpes_Simplex_1_KOS:3171:-	6750
Herpesvirus:Herpes_Simplex_1_KOS:135:+	135	Herpesvirus:Herpes_Simplex_1_KOS:3172:-	6800
Herpesvirus:Herpes_Simplex_1_KOS:136:+	136	Herpesvirus:Herpes_Simplex_1_KOS:3173:-	6850
Herpesvirus:Herpes_Simplex_1_KOS:137:+	137	Herpesvirus:Herpes_Simplex_1_KOS:3174:-	6900
Herpesvirus:Herpes_Simplex_1_KOS:138:+	138	Herpesvirus:Herpes_Simplex_1_KOS:3175:-	6950
Herpesvirus:Herpes_Simplex_1_KOS:139:+	139	Herpesvirus:Herpes_Simplex_1_KOS:3176:-	7000
Herpesvirus:Herpes_Simplex_1_KOS:140:+	140	Herpesvirus:Herpes_Simplex_1_KOS:3177:-	7050
Herpesvirus:Herpes_Simplex_1_KOS:141:+	141	Herpesvirus:Herpes_Simplex_1_KOS:3178:-	7100
Herpesvirus:Herpes_Simplex_1_KOS:142:+	142	Herpesvirus:Herpes_Simplex_1_KOS:3179:-	7150
Herpesvirus:Herpes_Simplex_1_KOS:143:+	143	Herpesvirus:Herpes_Simplex_1_KOS:3180:-	7200
Herpesvirus:Herpes_Simplex_1_KOS:144:+	144	Herpesvirus:Herpes_Simplex_1_KOS:3181:-	7250
Herpesvirus:Herpes_Simplex_1_KOS:145:+	145	Herpesvirus:Herpes_Simplex_1_KOS:3182:-	7300
Herpesvirus:Herpes_Simplex_1_KOS:146:+	146	Herpesvirus:Herpes_Simplex_1_KOS:3183:-	7350
Herpesvirus:Herpes_Simplex_1_KOS:147:+	147	Herpesvirus:Herpes_Simplex_1_KOS:3184:-	7400
Herpesvirus:Herpes_Simplex_1_KOS:148:+	148	Herpesvirus:Herpes_Simplex_1_KOS:3185:-	7450
Herpesvirus:Herpes_Simplex_1_KOS:149:+	149	Herpesvirus:Herpes_Simplex_1_KOS:3186:-	7500
Herpesvirus:Herpes_Simplex_1_KOS:150:+	150	Herpesvirus:Herpes_Simplex_1_KOS:3187:-	7550
Herpesvirus:Herpes_Simplex_1_KOS:151:+	151	Herpesvirus:Herpes_Simplex_1_KOS:3188:-	7600
Herpesvirus:Herpes_Simplex_1_KOS:152:+	152	Herpesvirus:Herpes_Simplex_1_KOS:3189:-	7650
Herpesvirus:Herpes_Simplex_1_KOS:153:+	153	Herpesvirus:Herpes_Simplex_1_KOS:3190:-	7700
Herpesvirus:Herpes_Simplex_1_KOS:154:+	154	Herpesvirus:Herpes_Simplex_1_KOS:3191:-	7750
Herpesvirus:Herpes_Simplex_1_KOS:155:+	155	Herpesvirus:Herpes_Simplex_1_KOS:3192:-	7800
Herpesvirus:Herpes_Simplex_1_KOS:156:+	156	Herpesvirus:Herpes_Simplex_1_KOS:3193:-	7850
Herpesvirus:Herpes_Simplex_1_KOS:157:+	157	Herpesvirus:Herpes_Simplex_1_KOS:3194:-	7900
Herpesvirus:Herpes_Simplex_1_KOS:158:+	158	Herpesvirus:Herpes_Simplex_1_KOS:3195:-	7950
Herpesvirus:Herpes_Simplex_1_KOS:159:+	159	Herpesvirus:Herpes_Simplex_1_KOS:3196:-	8000
Herpesvirus:Herpes_Simplex_1_KOS:160:+	160	Herpesvirus:Herpes_Simplex_1_KOS:3197:-	8050
Herpesvirus:Herpes_Simplex_1_KOS:161:+	161	Herpesvirus:Herpes_Simplex_1_KOS:3198:-	8100
Herpesvirus:Herpes_Simplex_1_KOS:162:+	162	Herpesvirus:Herpes_Simplex_1_KOS:3199:-	8150
Herpesvirus:Herpes_Simplex_1_KOS:163:+	163	Herpesvirus:Herpes_Simplex_1_KOS:3200:-	8200
Herpesvirus:Herpes_Simplex_1_KOS:164:+	164	Herpesvirus:Herpes_Simplex_1_KOS:3201:-	8250
Herpesvirus:Herpes_Simplex_1_KOS:165:+	165	Herpesvirus:Herpes_Simplex_1_KOS:3202:-	8300
Herpesvirus:Herpes_Simplex_1_KOS:166:+	166	Herpesvirus:Herpes_Simplex_1_KOS:3203:-	8350
Herpesvirus:Herpes_Simplex_1_KOS:167:+	167	Herpesvirus:Herpes_Simplex_1_KOS:3204:-	8400
Herpesvirus:Herpes_Simplex_1_KOS:168:+	168	Herpesvirus:Herpes_Simplex_1_KOS:3205:-	8450
Herpesvirus:Herpes_Simplex_1_KOS:169:+	169	Herpesvirus:Herpes_Simplex_1_KOS:3206:-	8500
Herpesvirus:Herpes_Simplex_1_KOS:170:+	170	Herpesvirus:Herpes_Simplex_1_KOS:3207:-	8550
Herpesvirus:Herpes_Simplex_1_KOS:171:+	171	Herpesvirus:Herpes_Simplex_1_KOS:3208:-	8600
Herpesvirus:Herpes_Simplex_1_KOS:172:+	172	Herpesvirus:Herpes_Simplex_1_KOS:3209:-	8650
Herpesvirus:Herpes_Simplex_1_KOS:173:+	173	Herpesvirus:Herpes_Simplex_1_KOS:3210:-	8700
Herpesvirus:Herpes_Simplex_1_KOS:174:+	174	Herpesvirus:Herpes_Simplex_1_KOS:3211:-	8750
Herpesvirus:Herpes_Simplex_1_KOS:175:+	175	Herpesvirus:Herpes_Simplex_1_KOS:3212:-	8800
Herpesvirus:Herpes_Simplex_1_KOS:176:+	176	Herpesvirus:Herpes_Simplex_1_KOS:3213:-	8850
Herpesvirus:Herpes_Simplex_1_KOS:177:+	177	Herpesvirus:Herpes_Simplex_1_KOS:3214:-	8900
Herpesvirus:Herpes_Simplex_1_KOS:178:+	178	Herpesvirus:Herpes_Simplex_1_KOS:3215:-	8950
Herpesvirus:Herpes_Simplex_1_KOS:179:+	179	Herpesvirus:Herpes_Simplex_1_KOS:3216:-	9000
Herpesvirus:Herpes_Simplex_1_KOS:180:+	180	Herpesvirus:Herpes_Simplex_1_KOS:3217:-	9050
Herpesvirus:Herpes_Simplex_1_KOS:181:+	181	Herpesvirus:Herpes_Simplex_1_KOS:3218:-	9100
Herpesvirus:Herpes_Simplex_1_KOS:182:+	182	Herpesvirus:Herpes_Simplex_1_KOS:3219:-	9150
Herpesvirus:Herpes_Simplex_1_KOS:183:+	183	Herpesvirus:Herpes_Simplex_1_KOS:3220:-	9200
Herpesvirus:Herpes_Simplex_1_KOS:184:+	184	Herpesvirus:Herpes_Simplex_1_KOS:3221:-	9250
Herpesvirus:Herpes_Simplex_1_KOS:185:+	185	Herpesvirus:Herpes_Simplex_1_KOS:3222:-	9300
Herpesvirus:Herpes_Simplex_1_KOS:186:+	186	Herpesvirus:Herpes_Simplex_1_KOS:3223:-	9350
Herpesvirus:Herpes_Simplex_1_KOS:187:+	187	Herpesvirus:Herpes_Simplex_1_KOS:3224:-	9400
Herpesvirus:Herpes_Simplex_1_KOS:188:+	188	Herpesvirus:Herpes_Simplex_1_KOS:3225:-	9450
Herpesvirus:Herpes_Simplex_1_KOS:189:+	189	Herpesvirus:Herpes_Simplex_1_KOS:3226:-	9500
Herpesvirus:Herpes_Simplex_1_KOS:190:+	190	Herpesvirus:Herpes_Simplex_1_KOS:3227:-	9550
Herpesvirus:Herpes_Simplex_1_KOS:191:+	191	Herpesvirus:Herpes_Simplex_1_KOS:3228:-	9600
Herpesvirus:Herpes_Simplex_1_KOS:192:+	192	Herpesvirus:Herpes_Simplex_1_KOS:3229:-	9650
Herpesvirus:Herpes_Simplex_1_KOS:193:+	193	Herpesvirus:Herpes_Simplex_1_KOS:3230:-	9700
Herpesvirus:Herpes_Simplex_1_KOS:194:+	194	Herpesvirus:Herpes_Simplex_1_KOS:3231:-	9750
Herpesvirus:Herpes_Simplex_1_KOS:195:+	195	Herpesvirus:Herpes_Simplex_1_KOS:3232:-	9800
Herpesvirus:Herpes_Simplex_1_KOS:196:+	196	Herpesvirus:Herpes_Simplex_1_KOS:3233:-	9850
Herpesvirus:Herpes_Simplex_1_KOS:197:+	197	Herpesvirus:Herpes_Simplex_1_KOS:3234:-	9900
Herpesvirus:Herpes_Simplex_1_KOS:198:+	198	Herpesvirus:Herpes_Simplex_1_KOS:3235:-	9950
Herpesvirus:Herpes_Simplex_1_KOS:199:+	199	Herpesvirus:Herpes_Simplex_1_KOS:3236:-	10000
Herpesvirus:Herpes_Simplex_1_KOS:200:+	200	Herpesvirus:Herpes_Simplex_1_KOS:3237:-	10050
Herpesvirus:Herpes_Simplex_1_KOS:201:+	201	Herpesvirus:Herpes_Simplex_1_KOS:3238:-	10100
Herpesvirus:Herpes_Simplex_1_KOS:202:+	202	Herpesvirus:Herpes_Simplex_1_KOS:3239:-	10150
Herpesvirus:Herpes_Simplex_1_KOS:203:+	203	Herpesvirus:Herpes_Simplex_1_KOS:3240:-	10200
Herpesvirus:Herpes_Simplex_1_KOS:204:+	204	Herpesvirus:Herpes_Simplex_1_KOS:3241:-	10250
Herpesvirus:Herpes_Simplex_1_KOS:205:+	205	Herpesvirus:Herpes_Simplex_1_KOS:3242:-	10300
Herpesvirus:Herpes_Simplex_1_KOS:206:+	206	Herpesvirus:Herpes_Simplex_1_KOS:3243:-	10350
Herpesvirus:Herpes_Simplex_1_KOS:207:+	207	Herpesvirus:Herpes_Simplex_1_KOS:3244:-	10400
Herpesvirus:Herpes_Simplex_1_KOS:208:+	208	Herpesvirus:Herpes_Simplex_1_KOS:3245:-	10450
Herpesvirus:Herpes_Simplex_1_KOS:209:+	209	Herpesvirus:Herpes_Simplex_1_KOS:3246:-	10500
Herpesvirus:Herpes_Simplex_1_KOS:210:+	210	Herpesvirus:Herpes_Simplex_1_KOS:3247:-	10550
Herpesvirus:Herpes_Simplex_1_KOS:211:+	211	Herpesvirus:Herpes_Simplex_1_KOS:3248:-	10600
Herpesvirus:Herpes_Simplex_1_KOS:212:+	212	Herpesvirus:Herpes_Simplex_1_KOS:3249:-	10650
Herpesvirus:Herpes_Simplex_1_KOS:213:+	213	Herpesvirus:Herpes_Simplex_1_KOS:3250:-	10700
Herpesvirus:Herpes_Simplex_1_KOS:214:+	214	Herpesvirus:Herpes_Simplex_1_KOS:3251:-	10750
Herpesvirus:Herpes_Simplex_1_KOS:215:+	215	Herpesvirus:Herpes_Simplex_1_KOS:3252:-	10800
Herpesvirus:Herpes_Simplex_1_KOS:216:+	216	Herpesvirus:Herpes_Simplex_1_KOS:3253:-	10850
Herpesvirus:Herpes_Simplex_1_KOS:217:+	217	Herpesvirus:Herpes_Simplex_1_KOS:3254:-	10900
Herpesvirus:Herpes_Simplex_1_KOS:218:+	218	Herpesvirus:Herpes_Simplex_1_KOS:3255:-	10950
Herpesvirus:Herpes_Simplex_1_KOS:219:+	219	Herpesvirus:Herpes_Simplex_1_KOS:3256:-	11000
Herpesvirus:Herpes_Simplex_1_KOS:220:+	220	Herpesvirus:Herpes_Simplex_1_KOS:3257:-	11050
Herpesvirus:Herpes_Simplex_1_KOS:221:+	221	Herpesvirus:Herpes_Simplex_1_KOS:3258:-	11100
Herpesvirus:Herpes_Simplex_1_KOS:222:+	222	Herpesvirus:Herpes_Simplex_1_KOS:3259:-	11150
Herpesvirus:Herpes_Simplex_1_KOS:223:+	223	Herpesvirus:Herpes_Simplex_1_KOS:3260:-	11200
Herpesvirus:Herpes_Simplex_1_KOS:224:+	224	Herpesvirus:Herpes_Simplex_1_KOS:3261:-	11250
Herpesvirus:Herpes_Simplex_1_KOS:225:+	225	Herpesvirus:Herpes_Simplex_1_KOS:3262:-	11300
