sense	number	antisense	bp	
Adenovirus:Type_1_Strain_Adenoid_71:42:+	43	Adenovirus:Type_1_Strain_Adenoid_71:757:-	2200	
Adenovirus:Type_1_Strain_Adenoid_71:43:+	44	Adenovirus:Type_1_Strain_Adenoid_71:758:-	2250	
Adenovirus:Type_1_Strain_Adenoid_71:44:+	45	Adenovirus:Type_1_Strain_Adenoid_71:759:-	2300	
Adenovirus:Type_1_Strain_Adenoid_71:45:+	46	Adenovirus:Type_1_Strain_Adenoid_71:760:-	2350	
Adenovirus:Type_1_Strain_Adenoid_71:46:+	47	Adenovirus:Type_1_Strain_Adenoid_71:761:-	2400	
Adenovirus:Type_1_Strain_Adenoid_71:47:+	48	Adenovirus:Type_1_Strain_Adenoid_71:762:-	2450	
Adenovirus:Type_1_Strain_Adenoid_71:48:+	49	Adenovirus:Type_1_Strain_Adenoid_71:763:-	2500	
Adenovirus:Type_1_Strain_Adenoid_71:49:+	50	Adenovirus:Type_1_Strain_Adenoid_71:764:-	2550	
Adenovirus:Type_1_Strain_Adenoid_71:50:+	51	Adenovirus:Type_1_Strain_Adenoid_71:765:-	2600	
Adenovirus:Type_1_Strain_Adenoid_71:51:+	52	Adenovirus:Type_1_Strain_Adenoid_71:766:-	2650	
Adenovirus:Type_1_Strain_Adenoid_71:52:+	53	Adenovirus:Type_1_Strain_Adenoid_71:767:-	2700	
Adenovirus:Type_1_Strain_Adenoid_71:53:+	54	Adenovirus:Type_1_Strain_Adenoid_71:768:-	2750	
Adenovirus:Type_1_Strain_Adenoid_71:54:+	55	Adenovirus:Type_1_Strain_Adenoid_71:769:-	2800	
Adenovirus:Type_1_Strain_Adenoid_71:55:+	56	Adenovirus:Type_1_Strain_Adenoid_71:770:-	2850	
Adenovirus:Type_1_Strain_Adenoid_71:56:+	57	Adenovirus:Type_1_Strain_Adenoid_71:771:-	2900	
Adenovirus:Type_1_Strain_Adenoid_71:57:+	58	Adenovirus:Type_1_Strain_Adenoid_71:772:-	2950	
Adenovirus:Type_1_Strain_Adenoid_71:58:+	59	Adenovirus:Type_1_Strain_Adenoid_71:773:-	3000	
Adenovirus:Type_1_Strain_Adenoid_71:59:+	60	Adenovirus:Type_1_Strain_Adenoid_71:774:-	3050	
Adenovirus:Type_1_Strain_Adenoid_71:60:+	61	Adenovirus:Type_1_Strain_Adenoid_71:775:-	3100	
Adenovirus:Type_1_Strain_Adenoid_71:61:+	62	Adenovirus:Type_1_Strain_Adenoid_71:776:-	3150	
Adenovirus:Type_1_Strain_Adenoid_71:62:+	63	Adenovirus:Type_1_Strain_Adenoid_71:777:-	3200	
Adenovirus:Type_1_Strain_Adenoid_71:63:+	64	Adenovirus:Type_1_Strain_Adenoid_71:778:-	3250	
Adenovirus:Type_1_Strain_Adenoid_71:64:+	65	Adenovirus:Type_1_Strain_Adenoid_71:779:-	3300	
Adenovirus:Type_1_Strain_Adenoid_71:65:+	66	Adenovirus:Type_1_Strain_Adenoid_71:780:-	3350	
Adenovirus:Type_1_Strain_Adenoid_71:66:+	67	Adenovirus:Type_1_Strain_Adenoid_71:781:-	3400	
Adenovirus:Type_1_Strain_Adenoid_71:67:+	68	Adenovirus:Type_1_Strain_Adenoid_71:782:-	3450	
Adenovirus:Type_1_Strain_Adenoid_71:68:+	69	Adenovirus:Type_1_Strain_Adenoid_71:783:-	3500	
Adenovirus:Type_1_Strain_Adenoid_71:69:+	70	Adenovirus:Type_1_Strain_Adenoid_71:784:-	3550	
Adenovirus:Type_1_Strain_Adenoid_71:70:+	71	Adenovirus:Type_1_Strain_Adenoid_71:785:-	3600	
Adenovirus:Type_1_Strain_Adenoid_71:71:+	72	Adenovirus:Type_1_Strain_Adenoid_71:786:-	3650	
Adenovirus:Type_1_Strain_Adenoid_71:72:+	73	Adenovirus:Type_1_Strain_Adenoid_71:787:-	3700	
Adenovirus:Type_1_Strain_Adenoid_71:73:+	74	Adenovirus:Type_1_Strain_Adenoid_71:788:-	3750	
Adenovirus:Type_1_Strain_Adenoid_71:74:+	75	Adenovirus:Type_1_Strain_Adenoid_71:789:-	3800	
Adenovirus:Type_1_Strain_Adenoid_71:75:+	76	Adenovirus:Type_1_Strain_Adenoid_71:790:-	3850	
Adenovirus:Type_1_Strain_Adenoid_71:76:+	77	Adenovirus:Type_1_Strain_Adenoid_71:791:-	3900	
Adenovirus:Type_1_Strain_Adenoid_71:77:+	78	Adenovirus:Type_1_Strain_Adenoid_71:792:-	3950	
Adenovirus:Type_1_Strain_Adenoid_71:78:+	79	Adenovirus:Type_1_Strain_Adenoid_71:793:-	4000	
Adenovirus:Type_1_Strain_Adenoid_71:79:+	80	Adenovirus:Type_1_Strain_Adenoid_71:794:-	4050	
Adenovirus:Type_1_Strain_Adenoid_71:80:+	81	Adenovirus:Type_1_Strain_Adenoid_71:795:-	4100	
Adenovirus:Type_1_Strain_Adenoid_71:81:+	82	Adenovirus:Type_1_Strain_Adenoid_71:796:-	4150	
Adenovirus:Type_1_Strain_Adenoid_71:82:+	83	Adenovirus:Type_1_Strain_Adenoid_71:797:-	4200	
Adenovirus:Type_1_Strain_Adenoid_71:83:+	84	Adenovirus:Type_1_Strain_Adenoid_71:798:-	4250	
Adenovirus:Type_1_Strain_Adenoid_71:84:+	85	Adenovirus:Type_1_Strain_Adenoid_71:799:-	4300	
Adenovirus:Type_1_Strain_Adenoid_71:85:+	86	Adenovirus:Type_1_Strain_Adenoid_71:800:-	4350	
Adenovirus:Type_1_Strain_Adenoid_71:86:+	87	Adenovirus:Type_1_Strain_Adenoid_71:801:-	4400	
Adenovirus:Type_1_Strain_Adenoid_71:87:+	88	Adenovirus:Type_1_Strain_Adenoid_71:802:-	4450	
Adenovirus:Type_1_Strain_Adenoid_71:88:+	89	Adenovirus:Type_1_Strain_Adenoid_71:803:-	4500	
Adenovirus:Type_1_Strain_Adenoid_71:89:+	90	Adenovirus:Type_1_Strain_Adenoid_71:804:-	4550	
Adenovirus:Type_1_Strain_Adenoid_71:90:+	91	Adenovirus:Type_1_Strain_Adenoid_71:805:-	4600	
Adenovirus:Type_1_Strain_Adenoid_71:91:+	92	Adenovirus:Type_1_Strain_Adenoid_71:806:-	4650	
Adenovirus:Type_1_Strain_Adenoid_71:92:+	93	Adenovirus:Type_1_Strain_Adenoid_71:807:-	4700	
Adenovirus:Type_1_Strain_Adenoid_71:93:+	94	Adenovirus:Type_1_Strain_Adenoid_71:808:-	4750	
Adenovirus:Type_1_Strain_Adenoid_71:94:+	95	Adenovirus:Type_1_Strain_Adenoid_71:809:-	4800	
Adenovirus:Type_1_Strain_Adenoid_71:95:+	96	Adenovirus:Type_1_Strain_Adenoid_71:810:-	4850	
Adenovirus:Type_1_Strain_Adenoid_71:96:+	97	Adenovirus:Type_1_Strain_Adenoid_71:811:-	4900	
Adenovirus:Type_1_Strain_Adenoid_71:97:+	98	Adenovirus:Type_1_Strain_Adenoid_71:812:-	4950	
Adenovirus:Type_1_Strain_Adenoid_71:98:+	99	Adenovirus:Type_1_Strain_Adenoid_71:813:-	5000	
Adenovirus:Type_1_Strain_Adenoid_71:99:+	100	Adenovirus:Type_1_Strain_Adenoid_71:814:-	5050	
Adenovirus:Type_1_Strain_Adenoid_71:100:+	101	Adenovirus:Type_1_Strain_Adenoid_71:815:-	5100	
Adenovirus:Type_1_Strain_Adenoid_71:101:+	102	Adenovirus:Type_1_Strain_Adenoid_71:816:-	5150	
Adenovirus:Type_1_Strain_Adenoid_71:102:+	103	Adenovirus:Type_1_Strain_Adenoid_71:817:-	5200	
Adenovirus:Type_1_Strain_Adenoid_71:103:+	104	Adenovirus:Type_1_Strain_Adenoid_71:818:-	5250	
Adenovirus:Type_1_Strain_Adenoid_71:104:+	105	Adenovirus:Type_1_Strain_Adenoid_71:819:-	5300	
Adenovirus:Type_1_Strain_Adenoid_71:105:+	106	Adenovirus:Type_1_Strain_Adenoid_71:820:-	5350	
Adenovirus:Type_1_Strain_Adenoid_71:106:+	107	Adenovirus:Type_1_Strain_Adenoid_71:821:-	5400	
Adenovirus:Type_1_Strain_Adenoid_71:107:+	108	Adenovirus:Type_1_Strain_Adenoid_71:822:-	5450	
Adenovirus:Type_1_Strain_Adenoid_71:108:+	109	Adenovirus:Type_1_Strain_Adenoid_71:823:-	5500	
Adenovirus:Type_1_Strain_Adenoid_71:109:+	110	Adenovirus:Type_1_Strain_Adenoid_71:824:-	5550	
Adenovirus:Type_1_Strain_Adenoid_71:110:+	111	Adenovirus:Type_1_Strain_Adenoid_71:825:-	5600	
Adenovirus:Type_1_Strain_Adenoid_71:111:+	112	Adenovirus:Type_1_Strain_Adenoid_71:826:-	5650	
Adenovirus:Type_1_Strain_Adenoid_71:112:+	113	Adenovirus:Type_1_Strain_Adenoid_71:827:-	5700	
Adenovirus:Type_1_Strain_Adenoid_71:113:+	114	Adenovirus:Type_1_Strain_Adenoid_71:828:-	5750	
Adenovirus:Type_1_Strain_Adenoid_71:114:+	115	Adenovirus:Type_1_Strain_Adenoid_71:829:-	5800	
Adenovirus:Type_1_Strain_Adenoid_71:115:+	116	Adenovirus:Type_1_Strain_Adenoid_71:830:-	5850	
Adenovirus:Type_1_Strain_Adenoid_71:116:+	117	Adenovirus:Type_1_Strain_Adenoid_71:831:-	5900	
Adenovirus:Type_1_Strain_Adenoid_71:117:+	118	Adenovirus:Type_1_Strain_Adenoid_71:832:-	5950	
Adenovirus:Type_1_Strain_Adenoid_71:118:+	119	Adenovirus:Type_1_Strain_Adenoid_71:833:-	6000	
Adenovirus:Type_1_Strain_Adenoid_71:119:+	120	Adenovirus:Type_1_Strain_Adenoid_71:834:-	6050	
Adenovirus:Type_1_Strain_Adenoid_71:120:+	121	Adenovirus:Type_1_Strain_Adenoid_71:835:-	6100	
Adenovirus:Type_1_Strain_Adenoid_71:121:+	122	Adenovirus:Type_1_Strain_Adenoid_71:836:-	6150	
Adenovirus:Type_1_Strain_Adenoid_71:122:+	123	Adenovirus:Type_1_Strain_Adenoid_71:837:-	6200	
Adenovirus:Type_1_Strain_Adenoid_71:123:+	124	Adenovirus:Type_1_Strain_Adenoid_71:838:-	6250	
Adenovirus:Type_1_Strain_Adenoid_71:124:+	125	Adenovirus:Type_1_Strain_Adenoid_71:839:-	6300	
Adenovirus:Type_1_Strain_Adenoid_71:125:+	126	Adenovirus:Type_1_Strain_Adenoid_71:840:-	6350	
Adenovirus:Type_1_Strain_Adenoid_71:126:+	127	Adenovirus:Type_1_Strain_Adenoid_71:841:-	6400	
Adenovirus:Type_1_Strain_Adenoid_71:127:+	128	Adenovirus:Type_1_Strain_Adenoid_71:842:-	6450	
Adenovirus:Type_1_Strain_Adenoid_71:128:+	129	Adenovirus:Type_1_Strain_Adenoid_71:843:-	6500	
Adenovirus:Type_1_Strain_Adenoid_71:129:+	130	Adenovirus:Type_1_Strain_Adenoid_71:844:-	6550	
Adenovirus:Type_1_Strain_Adenoid_71:130:+	131	Adenovirus:Type_1_Strain_Adenoid_71:845:-	6600	
Adenovirus:Type_1_Strain_Adenoid_71:131:+	132	Adenovirus:Type_1_Strain_Adenoid_71:846:-	6650	
Adenovirus:Type_1_Strain_Adenoid_71:132:+	133	Adenovirus:Type_1_Strain_Adenoid_71:847:-	6700	
Adenovirus:Type_1_Strain_Adenoid_71:133:+	134	Adenovirus:Type_1_Strain_Adenoid_71:848:-	6750	
Adenovirus:Type_1_Strain_Adenoid_71:134:+	135	Adenovirus:Type_1_Strain_Adenoid_71:849:-	6800	
Adenovirus:Type_1_Strain_Adenoid_71:135:+	136	Adenovirus:Type_1_Strain_Adenoid_71:850:-	6850	
Adenovirus:Type_1_Strain_Adenoid_71:136:+	137	Adenovirus:Type_1_Strain_Adenoid_71:851:-	6900	
Adenovirus:Type_1_Strain_Adenoid_71:137:+	138	Adenovirus:Type_1_Strain_Adenoid_71:852:-	6950	
Adenovirus:Type_1_Strain_Adenoid_71:138:+	139	Adenovirus:Type_1_Strain_Adenoid_71:853:-	7000	
Adenovirus:Type_1_Strain_Adenoid_71:139:+	140	Adenovirus:Type_1_Strain_Adenoid_71:854:-	7050	
Adenovirus:Type_1_Strain_Adenoid_71:140:+	141	Adenovirus:Type_1_Strain_Adenoid_71:855:-	7100	
Adenovirus:Type_1_Strain_Adenoid_71:141:+	142	Adenovirus:Type_1_Strain_Adenoid_71:856:-	7150	
Adenovirus:Type_1_Strain_Adenoid_71:142:+	143	Adenovirus:Type_1_Strain_Adenoid_71:857:-	7200	
Adenovirus:Type_1_Strain_Adenoid_71:143:+	144	Adenovirus:Type_1_Strain_Adenoid_71:858:-	7250	
Adenovirus:Type_1_Strain_Adenoid_71:144:+	145	Adenovirus:Type_1_Strain_Adenoid_71:859:-	7300	
Adenovirus:Type_1_Strain_Adenoid_71:145:+	146	Adenovirus:Type_1_Strain_Adenoid_71:860:-	7350	
Adenovirus:Type_1_Strain_Adenoid_71:146:+	147	Adenovirus:Type_1_Strain_Adenoid_71:861:-	7400	
Adenovirus:Type_1_Strain_Adenoid_71:147:+	148	Adenovirus:Type_1_Strain_Adenoid_71:862:-	7450	
Adenovirus:Type_1_Strain_Adenoid_71:148:+	149	Adenovirus:Type_1_Strain_Adenoid_71:863:-	7500	
Adenovirus:Type_1_Strain_Adenoid_71:149:+	150	Adenovirus:Type_1_Strain_Adenoid_71:864:-	7550	
Adenovirus:Type_1_Strain_Adenoid_71:150:+	151	Adenovirus:Type_1_Strain_Adenoid_71:865:-	7600	
Adenovirus:Type_1_Strain_Adenoid_71:151:+	152	Adenovirus:Type_1_Strain_Adenoid_71:866:-	7650	
Adenovirus:Type_1_Strain_Adenoid_71:152:+	153	Adenovirus:Type_1_Strain_Adenoid_71:867:-	7700	
Adenovirus:Type_1_Strain_Adenoid_71:153:+	154	Adenovirus:Type_1_Strain_Adenoid_71:868:-	7750	
Adenovirus:Type_1_Strain_Adenoid_71:154:+	155	Adenovirus:Type_1_Strain_Adenoid_71:869:-	7800	
Adenovirus:Type_1_Strain_Adenoid_71:155:+	156	Adenovirus:Type_1_Strain_Adenoid_71:870:-	7850	
Adenovirus:Type_1_Strain_Adenoid_71:156:+	157	Adenovirus:Type_1_Strain_Adenoid_71:871:-	7900	
Adenovirus:Type_1_Strain_Adenoid_71:157:+	158	Adenovirus:Type_1_Strain_Adenoid_71:872:-	7950	
Adenovirus:Type_1_Strain_Adenoid_71:158:+	159	Adenovirus:Type_1_Strain_Adenoid_71:873:-	8000	
Adenovirus:Type_1_Strain_Adenoid_71:159:+	160	Adenovirus:Type_1_Strain_Adenoid_71:874:-	8050	
Adenovirus:Type_1_Strain_Adenoid_71:160:+	161	Adenovirus:Type_1_Strain_Adenoid_71:875:-	8100	
Adenovirus:Type_1_Strain_Adenoid_71:161:+	162	Adenovirus:Type_1_Strain_Adenoid_71:876:-	8150	
Adenovirus:Type_1_Strain_Adenoid_71:162:+	163	Adenovirus:Type_1_Strain_Adenoid_71:877:-	8200	
Adenovirus:Type_1_Strain_Adenoid_71:163:+	164	Adenovirus:Type_1_Strain_Adenoid_71:878:-	8250	
Adenovirus:Type_1_Strain_Adenoid_71:164:+	165	Adenovirus:Type_1_Strain_Adenoid_71:879:-	8300	
Adenovirus:Type_1_Strain_Adenoid_71:165:+	166	Adenovirus:Type_1_Strain_Adenoid_71:880:-	8350	
Adenovirus:Type_1_Strain_Adenoid_71:166:+	167	Adenovirus:Type_1_Strain_Adenoid_71:881:-	8400	
Adenovirus:Type_1_Strain_Adenoid_71:167:+	168	Adenovirus:Type_1_Strain_Adenoid_71:882:-	8450	
Adenovirus:Type_1_Strain_Adenoid_71:168:+	169	Adenovirus:Type_1_Strain_Adenoid_71:883:-	8500	
Adenovirus:Type_1_Strain_Adenoid_71:169:+	170	Adenovirus:Type_1_Strain_Adenoid_71:884:-	8550	
Adenovirus:Type_1_Strain_Adenoid_71:170:+	171	Adenovirus:Type_1_Strain_Adenoid_71:885:-	8600	
Adenovirus:Type_1_Strain_Adenoid_71:171:+	172	Adenovirus:Type_1_Strain_Adenoid_71:886:-	8650	
Adenovirus:Type_1_Strain_Adenoid_71:172:+	173	Adenovirus:Type_1_Strain_Adenoid_71:887:-	8700	
Adenovirus:Type_1_Strain_Adenoid_71:173:+	174	Adenovirus:Type_1_Strain_Adenoid_71:888:-	8750	
Adenovirus:Type_1_Strain_Adenoid_71:174:+	175	Adenovirus:Type_1_Strain_Adenoid_71:889:-	8800	
Adenovirus:Type_1_Strain_Adenoid_71:175:+	176	Adenovirus:Type_1_Strain_Adenoid_71:890:-	8850	
Adenovirus:Type_1_Strain_Adenoid_71:176:+	177	Adenovirus:Type_1_Strain_Adenoid_71:891:-	8900	
Adenovirus:Type_1_Strain_Adenoid_71:177:+	178	Adenovirus:Type_1_Strain_Adenoid_71:892:-	8950	
Adenovirus:Type_1_Strain_Adenoid_71:178:+	179	Adenovirus:Type_1_Strain_Adenoid_71:893:-	9000	
Adenovirus:Type_1_Strain_Adenoid_71:179:+	180	Adenovirus:Type_1_Strain_Adenoid_71:894:-	9050	
Adenovirus:Type_1_Strain_Adenoid_71:180:+	181	Adenovirus:Type_1_Strain_Adenoid_71:895:-	9100	
Adenovirus:Type_1_Strain_Adenoid_71:181:+	182	Adenovirus:Type_1_Strain_Adenoid_71:896:-	9150	
Adenovirus:Type_1_Strain_Adenoid_71:182:+	183	Adenovirus:Type_1_Strain_Adenoid_71:897:-	9200	
Adenovirus:Type_1_Strain_Adenoid_71:183:+	184	Adenovirus:Type_1_Strain_Adenoid_71:898:-	9250	
Adenovirus:Type_1_Strain_Adenoid_71:184:+	185	Adenovirus:Type_1_Strain_Adenoid_71:899:-	9300	
Adenovirus:Type_1_Strain_Adenoid_71:185:+	186	Adenovirus:Type_1_Strain_Adenoid_71:900:-	9350	
Adenovirus:Type_1_Strain_Adenoid_71:186:+	187	Adenovirus:Type_1_Strain_Adenoid_71:901:-	9400	
Adenovirus:Type_1_Strain_Adenoid_71:187:+	188	Adenovirus:Type_1_Strain_Adenoid_71:902:-	9450	
Adenovirus:Type_1_Strain_Adenoid_71:188:+	189	Adenovirus:Type_1_Strain_Adenoid_71:903:-	9500	
Adenovirus:Type_1_Strain_Adenoid_71:189:+	190	Adenovirus:Type_1_Strain_Adenoid_71:904:-	9550	
Adenovirus:Type_1_Strain_Adenoid_71:190:+	191	Adenovirus:Type_1_Strain_Adenoid_71:905:-	9600	
Adenovirus:Type_1_Strain_Adenoid_71:191:+	192	Adenovirus:Type_1_Strain_Adenoid_71:906:-	9650	
Adenovirus:Type_1_Strain_Adenoid_71:192:+	193	Adenovirus:Type_1_Strain_Adenoid_71:907:-	9700	
Adenovirus:Type_1_Strain_Adenoid_71:193:+	194	Adenovirus:Type_1_Strain_Adenoid_71:908:-	9750	
Adenovirus:Type_1_Strain_Adenoid_71:194:+	195	Adenovirus:Type_1_Strain_Adenoid_71:909:-	9800	
Adenovirus:Type_1_Strain_Adenoid_71:195:+	196	Adenovirus:Type_1_Strain_Adenoid_71:910:-	9850	
Adenovirus:Type_1_Strain_Adenoid_71:196:+	197	Adenovirus:Type_1_Strain_Adenoid_71:911:-	9900	
Adenovirus:Type_1_Strain_Adenoid_71:197:+	198	Adenovirus:Type_1_Strain_Adenoid_71:912:-	9950	
Adenovirus:Type_1_Strain_Adenoid_71:198:+	199	Adenovirus:Type_1_Strain_Adenoid_71:913:-	10000	
Adenovirus:Type_1_Strain_Adenoid_71:199:+	200	Adenovirus:Type_1_Strain_Adenoid_71:914:-	10050	
Adenovirus:Type_1_Strain_Adenoid_71:200:+	201	Adenovirus:Type_1_Strain_Adenoid_71:915:-	10100	
Adenovirus:Type_1_Strain_Adenoid_71:201:+	202	Adenovirus:Type_1_Strain_Adenoid_71:916:-	10150	
Adenovirus:Type_1_Strain_Adenoid_71:202:+	203	Adenovirus:Type_1_Strain_Adenoid_71:917:-	10200	
Adenovirus:Type_1_Strain_Adenoid_71:203:+	204	Adenovirus:Type_1_Strain_Adenoid_71:918:-	10250	
Adenovirus:Type_1_Strain_Adenoid_71:204:+	205	Adenovirus:Type_1_Strain_Adenoid_71:919:-	10300	
Adenovirus:Type_1_Strain_Adenoid_71:205:+	206	Adenovirus:Type_1_Strain_Adenoid_71:920:-	10350	
Adenovirus:Type_1_Strain_Adenoid_71:206:+	207	Adenovirus:Type_1_Strain_Adenoid_71:921:-	10400	
Adenovirus:Type_1_Strain_Adenoid_71:207:+	208	Adenovirus:Type_1_Strain_Adenoid_71:922:-	10450	
Adenovirus:Type_1_Strain_Adenoid_71:208:+	209	Adenovirus:Type_1_Strain_Adenoid_71:923:-	10500	
Adenovirus:Type_1_Strain_Adenoid_71:209:+	210	Adenovirus:Type_1_Strain_Adenoid_71:924:-	10550	
Adenovirus:Type_1_Strain_Adenoid_71:210:+	211	Adenovirus:Type_1_Strain_Adenoid_71:925:-	10600	
Adenovirus:Type_1_Strain_Adenoid_71:211:+	212	Adenovirus:Type_1_Strain_Adenoid_71:926:-	10650	
Adenovirus:Type_1_Strain_Adenoid_71:212:+	213	Adenovirus:Type_1_Strain_Adenoid_71:927:-	10700	
Adenovirus:Type_1_Strain_Adenoid_71:213:+	214	Adenovirus:Type_1_Strain_Adenoid_71:928:-	10750	
Adenovirus:Type_1_Strain_Adenoid_71:214:+	215	Adenovirus:Type_1_Strain_Adenoid_71:929:-	10800	
Adenovirus:Type_1_Strain_Adenoid_71:215:+	216	Adenovirus:Type_1_Strain_Adenoid_71:930:-	10850	
Adenovirus:Type_1_Strain_Adenoid_71:216:+	217	Adenovirus:Type_1_Strain_Adenoid_71:931:-	10900	
Adenovirus:Type_1_Strain_Adenoid_71:217:+	218	Adenovirus:Type_1_Strain_Adenoid_71:932:-	10950	
Adenovirus:Type_1_Strain_Adenoid_71:218:+	219	Adenovirus:Type_1_Strain_Adenoid_71:933:-	11000	
Adenovirus:Type_1_Strain_Adenoid_71:219:+	220	Adenovirus:Type_1_Strain_Adenoid_71:934:-	11050	
Adenovirus:Type_1_Strain_Adenoid_71:220:+	221	Adenovirus:Type_1_Strain_Adenoid_71:935:-	11100	
Adenovirus:Type_1_Strain_Adenoid_71:221:+	222	Adenovirus:Type_1_Strain_Adenoid_71:936:-	11150	
Adenovirus:Type_1_Strain_Adenoid_71:222:+	223	Adenovirus:Type_1_Strain_Adenoid_71:937:-	11200	
Adenovirus:Type_1_Strain_Adenoid_71:223:+	224	Adenovirus:Type_1_Strain_Adenoid_71:938:-	11250	
Adenovirus:Type_1_Strain_Adenoid_71:224:+	225	Adenovirus:Type_1_Strain_Adenoid_71:939:-	11300	
